"nome","resumo","coordenador"
"MONITORIA DE TURISMO E HISTÓRIA DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Amanda Danelli Costa "
"IGUALDADE DE GÊNERO E TURISMO SUSTENTÁVEL: PROMOVENDO INICIATIVAS DESDE A UNIVERSIDADE","Em breve este conteúdo estará disponível.","Carolina Castellitti "
"CONEXÃO TURISMO","Em breve este conteúdo estará disponível.","Caroline Martins De Melo Bottino "
"NÚCLEO DE ESTUDOS EM TURISMO & ANTROPOLOGIA SOCIAL","Em breve este conteúdo estará disponível.","Caroline Martins De Melo Bottino "
"IMPLANTAÇÃO E MONITORAMENTO DAS PARCERIAS EM ÁREAS PROTEGIDAS","Em breve este conteúdo estará disponível.","Clara Carvalho De Lemos "
"OBSERVATÓRIO DE TURISMO NOS SUBÚRBIOS CARIOCAS","Em breve este conteúdo estará disponível.","Frank Andrew Davies "
"CICLO DE ESTUDOS SOBRE TURISMO LAZER E CIDADE","Em breve este conteúdo estará disponível.","Frank Andrew Davies "
"PROJETO DE ENSINO E TREINAMENTO PROFISSIONAL DO LABORATÓRIO DE TURISMO DA UERJ","Em breve este conteúdo estará disponível.","Gabriel De Sena Jardim "
"COMUNICAÇÃO INSTITUCIONAL DO DEPARTAMENTO DE TURISMO DA UERJ","Em breve este conteúdo estará disponível.","Lucas Gamonal Barra De Almeida "
"PESQUISAS E PROJETOS EM TURISMO E CULTURA: INCURSÕES ETNOGRÁFICAS E OFICINAS PARTICIPATIVAS","Em breve este conteúdo estará disponível.","Marcelo Antonio Sotratti "
"TERRITORIALIDADES SOCIOAMBIENTAIS E TURISMO NO ESTADO DO RIO DE JANEIRO.","Em breve este conteúdo estará disponível.","Rafael Ângelo Fortunato "
"ECOTURISMO INCLUSIVO PARA PESSOAS COM DEFICIÊNCIA: REFLEXÕES ESTRATÉGIAS E AÇÕES EM ÁREAS NATURAIS","Em breve este conteúdo estará disponível.","Thiago Ferreira Pinheiro Dias Pereira "
"TRILHAS SENSORIAIS E ECOTURISMO INCLUSIVO PARA IDOSOS NO PARQUE NACIONAL DA TIJUCA","Em breve este conteúdo estará disponível.","Thiago Ferreira Pinheiro Dias Pereira "
"LEVANTAMENTO DO PERFIL DOS TURISTAS E VISITANTES DO PARQUE NACIONAL DA TIJUCA RIO DE JANEIRO – RJ","Em breve este conteúdo estará disponível.","Thiago Ferreira Pinheiro Dias Pereira "
"O PAPEL DOS EVENTOS CANÁBICOS PARA O DESENVOLVIMENTO DO TURISMO DA MACONHA NO BRASIL","Em breve este conteúdo estará disponível.","Thiago Ferreira Pinheiro Dias Pereira "
